Confusion Matrix:
================
Shape: (23, 23)
Rows: True labels, Columns: Predicted labels

        0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22
  0: 10247   9   1   0   0   0   0   0   1   0  13   2   0   0   1   0   0   0   0   0   3   0   0
  1:    01424   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  2:    0   0 991   0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   0   0   0   0  10
  3:    0   0   0 944   0   0   0   0   0   0   2   0   0   0   1   0   0   0   0   0   0   1   1
  4:    0   0   0   0 948   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  5:    2   8   0   0   0 892   1   1   1   0   2   3   0   5   0   0   0   0   0   0   0   0   1
  6:    0   0   0   4   0   0 709 189   0   3   0   0   0   0   2   0   0   0   0   1   0   0   1
  7:    0   0   0   0   0   0 276 678   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  8:    0   0   0   0   0   0   0   0 891   0   2   0   0   0   0   0   0   0   0   0   0   2   1
  9:    0   0   1   6   1   0   0   0   0 883   1   0   0   1   0   0   0   0   0   0   0   0   1
 10:    0   0   4   3   0   0   0   3   0   0 857   0   0   0  10   0   0   0   0   3   0   0  17
 11:    0   0   1   0   0   0   0   0   2   0   0 862   0   0   0   0   0   0   0   6   1   0   0
 12:    0   0   0   0   0   0   6   7   0   0   0   0 452   0   0  74   0   0   0 318   0   0   5
 13:    0   0   1   0   2   0   0   0   0   0   0   0   0 816   0   0   0   0   0   0   0  39   1
 14:    0   0   3   0   0   0   0   0   0   0   5   5   0   0 827   0   0   0   0   0   1   0   0
 15:    0   0   0   0   1   0   0   0   0   0   0   0  19   1   0 660   0   1   0   3   0   0   0
 16:    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 592   0   0   0   0   0   0
 17:    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 592   1   0   0   0   0
 18:    0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0 570   0   0   0   0
 19:    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 516   0   0   0
 20:    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 418   0   0
 21:    0   0   0   0   0   0   0   0   0   4   0   0   0 288   0   2   0   0   0   1   0  99   2
 22:    0   0   2   0   1   0   0   0   1   6  10   0   0   0   5   0   4   1   2   3   0   2 302
