Epoch 0: Label Accuracy = 32878/48318 = 68.05%, ID samples = 48318, Open-set samples = 16105
Epoch 1: Label Accuracy = 32878/48318 = 68.05%, ID samples = 48318, Open-set samples = 16105
Epoch 2: Label Accuracy = 32878/48318 = 68.05%, ID samples = 48318, Open-set samples = 16105
Epoch 3: Label Accuracy = 33244/48318 = 68.80%, ID samples = 48318, Open-set samples = 16105
Epoch 4: Label Accuracy = 33559/48318 = 69.45%, ID samples = 48318, Open-set samples = 16105
Epoch 5: Label Accuracy = 33851/48318 = 70.06%, ID samples = 48318, Open-set samples = 16105
Epoch 6: Label Accuracy = 34904/48318 = 72.24%, ID samples = 48318, Open-set samples = 16105
Epoch 7: Label Accuracy = 35101/48318 = 72.65%, ID samples = 48318, Open-set samples = 16105
Epoch 8: Label Accuracy = 34509/48318 = 71.42%, ID samples = 48318, Open-set samples = 16105
Epoch 9: Label Accuracy = 34879/48318 = 72.19%, ID samples = 48318, Open-set samples = 16105
Epoch 10: Label Accuracy = 35440/48318 = 73.35%, ID samples = 48318, Open-set samples = 16105
Epoch 11: Label Accuracy = 36623/48318 = 75.80%, ID samples = 48318, Open-set samples = 16105
Epoch 12: Label Accuracy = 36904/48318 = 76.38%, ID samples = 48318, Open-set samples = 16105
Epoch 13: Label Accuracy = 36984/48318 = 76.54%, ID samples = 48318, Open-set samples = 16105
Epoch 14: Label Accuracy = 37136/48318 = 76.86%, ID samples = 48318, Open-set samples = 16105
Epoch 15: Label Accuracy = 37361/48318 = 77.32%, ID samples = 48318, Open-set samples = 16105
Epoch 16: Label Accuracy = 37458/48318 = 77.52%, ID samples = 48318, Open-set samples = 16105
Epoch 17: Label Accuracy = 37386/48318 = 77.37%, ID samples = 48318, Open-set samples = 16105
Epoch 18: Label Accuracy = 37994/48318 = 78.63%, ID samples = 48318, Open-set samples = 16105
Epoch 19: Label Accuracy = 38080/48318 = 78.81%, ID samples = 48318, Open-set samples = 16105
Epoch 20: Label Accuracy = 38632/48318 = 79.95%, ID samples = 48318, Open-set samples = 16105
Epoch 21: Label Accuracy = 38167/48318 = 78.99%, ID samples = 48318, Open-set samples = 16105
Epoch 22: Label Accuracy = 38180/48318 = 79.02%, ID samples = 48318, Open-set samples = 16105
Epoch 23: Label Accuracy = 39450/48318 = 81.65%, ID samples = 48318, Open-set samples = 16105
Epoch 24: Label Accuracy = 38587/48318 = 79.86%, ID samples = 48318, Open-set samples = 16105
